                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.67913,                0.48396,                0.81447,                0.86258,                0.51606,                0.81598,                 0.9036,                0.87691,                 0.9679,                  0.816,                0.59514,                 0.5076,                0.79006,                0.68032,                0.45434,                0.80075,               0.006865,               0.006865,               0.006865
                     98,                0.67698,                0.47276,                0.81416,                0.86254,                0.50258,                 0.8141,                0.90839,                0.87382,                0.96203,                0.82109,                0.56464,                0.44692,                 0.7894,                0.66122,                0.50682,                 0.7941,               0.006832,               0.006832,               0.006832
                     99,                 0.6741,                 0.4712,                0.81784,                0.86774,                0.50036,                0.81985,                0.92893,                0.90561,                0.97929,                0.83463,                0.55943,                0.40981,                0.78799,                   0.65,                0.38711,                0.79396,               0.006799,               0.006799,               0.006799
                    100,                0.67107,                0.46678,                0.81505,                0.85276,                 0.4801,                0.81413,                0.93295,                0.90554,                0.97457,                0.83248,                0.56485,                0.42795,                0.78622,                0.63682,                0.40709,                0.79016,               0.006766,               0.006766,               0.006766
                    101,                0.66506,                  0.453,                 0.8167,                0.84979,                0.48194,                0.81605,                0.90633,                0.93795,                0.97956,                0.83004,                0.58523,                0.41017,                0.78958,                0.66839,                0.37459,                0.79387,               0.006733,               0.006733,               0.006733
                    102,                0.65761,                0.44868,                0.81322,                0.84265,                0.46585,                0.81245,                 0.9093,                0.90352,                0.96114,                0.82036,                0.57508,                0.46479,                 0.7868,                0.65012,                0.47232,                0.79326,                 0.0067,                 0.0067,                 0.0067
                    103,                0.65741,                0.46474,                0.81094,                0.84275,                0.49923,                0.81057,                 0.9223,                0.94746,                0.97704,                0.83234,                0.56815,                0.38521,                0.78652,                0.64861,                0.35492,                0.79015,               0.006667,               0.006667,               0.006667
                    104,                0.66488,                0.45903,                0.80916,                0.85694,                0.47996,                0.81119,                0.92505,                0.91137,                0.97875,                0.83032,                0.58396,                0.42251,                0.78757,                0.66692,                0.38319,                0.79257,               0.006634,               0.006634,               0.006634
                    105,                0.65953,                0.46117,                0.81654,                0.84663,                0.49113,                0.81685,                0.93365,                0.91902,                0.97307,                0.83579,                0.56573,                0.42138,                0.78597,                0.63023,                0.42692,                0.78778,               0.006601,               0.006601,               0.006601
                    106,                0.66401,                 0.4715,                0.81401,                0.84794,                 0.5002,                0.81374,                0.91138,                0.92955,                0.96979,                0.83135,                0.56041,                0.41705,                0.78655,                0.64335,                0.41157,                0.79437,               0.006568,               0.006568,               0.006568
                    107,                0.67072,                0.47055,                0.81245,                0.85236,                0.49887,                0.81349,                0.90945,                0.93783,                0.98156,                0.84705,                0.56353,                0.39023,                0.78745,                0.62962,                0.36288,                0.78986,               0.006535,               0.006535,               0.006535
                    108,                 0.6613,                0.44623,                0.81193,                0.82068,                0.47785,                0.81218,                0.94357,                 0.9283,                0.98127,                 0.8458,                0.54617,                0.35897,                0.78566,                0.62034,                0.31858,                0.78762,               0.006502,               0.006502,               0.006502
